Time,Lon,Lat,Temp,Sal,Turb,Flu,Year,Month,Day,YDay,Hour,Lat_round,Northbound,MDay
2008-05-30 01:31:35,10.785,55.6839,13.385,10.984,0.556,2.412,2008,5,2008-05-30,151,1.51667,55.6875,FALSE,30
2008-05-30 01:32:35,10.7839,55.6788,13.37,10.999,0.558,2.293,2008,5,2008-05-30,151,1.53333,55.6875,FALSE,30
2008-05-30 01:33:35,10.783,55.6736,13.327,11.03,0.537,2.226,2008,5,2008-05-30,151,1.55,55.6625,FALSE,30
2008-05-30 01:34:27,10.782,55.6686,13.365,11.061,0.576,2.196,2008,5,2008-05-30,151,1.56667,55.6625,FALSE,30
2008-05-30 01:35:36,10.7811,55.6635,13.397,11.038,0.582,2.169,2008,5,2008-05-30,151,1.58333,55.6625,FALSE,30
2008-05-30 01:36:28,10.7803,55.6583,13.301,10.957,0.586,2.188,2008,5,2008-05-30,151,1.6,55.6625,FALSE,30
2008-05-30 01:37:29,10.7797,55.6533,13.299,10.992,0.584,2.282,2008,5,2008-05-30,151,1.61667,55.6625,FALSE,30
2008-05-30 01:38:29,10.7792,55.6482,13.284,11.005,0.57,2.393,2008,5,2008-05-30,151,1.63333,55.6375,FALSE,30
2008-05-30 01:39:30,10.7791,55.643,13.201,11.053,0.582,2.361,2008,5,2008-05-30,151,1.65,55.6375,FALSE,30
2008-05-30 01:40:30,10.7802,55.6379,13.187,11.126,0.572,2.414,2008,5,2008-05-30,151,1.66667,55.6375,FALSE,30
2008-05-30 01:41:31,10.7824,55.633,13.216,11.211,0.568,2.415,2008,5,2008-05-30,151,1.68333,55.6375,FALSE,30
2008-05-30 01:42:31,10.7854,55.6281,13.247,11.2,0.59,2.432,2008,5,2008-05-30,151,1.7,55.6375,FALSE,30
2008-05-30 01:43:32,10.7886,55.6233,13.234,11.167,0.558,2.571,2008,5,2008-05-30,151,1.71667,55.6125,FALSE,30
2008-05-30 17:09:10,10.7908,55.6271,13.782,10.743,0.592,1.41,2008,5,2008-05-30,151,17.15,55.6375,TRUE,30
2008-05-30 17:10:10,10.787,55.6328,13.791,10.775,0.61,1.41,2008,5,2008-05-30,151,17.1667,55.6375,TRUE,30
2008-05-30 17:11:11,10.7832,55.6384,13.764,10.811,0.592,1.412,2008,5,2008-05-30,151,17.1833,55.6375,TRUE,30
2008-05-30 17:12:11,10.7798,55.6441,13.835,10.855,0.584,1.419,2008,5,2008-05-30,151,17.2,55.6375,TRUE,30
2008-05-30 17:13:12,10.7781,55.6498,13.885,10.855,0.595,1.417,2008,5,2008-05-30,151,17.2167,55.6375,TRUE,30
2008-05-30 17:14:12,10.7784,55.6555,13.92,10.866,0.58,1.427,2008,5,2008-05-30,151,17.2333,55.6625,TRUE,30
2008-05-30 17:15:12,10.7794,55.6611,13.911,10.884,0.606,1.408,2008,5,2008-05-30,151,17.25,55.6625,TRUE,30
2008-05-30 17:16:13,10.7805,55.6667,13.827,10.893,0.595,1.429,2008,5,2008-05-30,151,17.2667,55.6625,TRUE,30
2008-05-30 17:17:13,10.7815,55.6724,13.776,10.874,0.578,1.423,2008,5,2008-05-30,151,17.2833,55.6625,TRUE,30
2008-05-30 17:18:14,10.7829,55.6781,13.84,10.852,0.599,1.417,2008,5,2008-05-30,151,17.3,55.6875,TRUE,30
2008-05-30 17:19:14,10.7843,55.6837,13.643,10.819,0.582,1.43,2008,5,2008-05-30,151,17.3167,55.6875,TRUE,30
2008-06-13 01:50:52,10.7796,55.6895,16.271,14.466,0.433,2.481,2008,6,2008-06-13,165,1.83333,55.6875,FALSE,13
2008-06-13 01:51:53,10.7776,55.6838,16.217,14.469,0.457,2.559,2008,6,2008-06-13,165,1.85,55.6875,FALSE,13
2008-06-13 01:52:53,10.7757,55.6782,16.183,14.481,0.463,2.709,2008,6,2008-06-13,165,1.86667,55.6875,FALSE,13
2008-06-13 01:53:54,10.7737,55.6725,16.201,14.503,0.461,2.621,2008,6,2008-06-13,165,1.88333,55.6625,FALSE,13
2008-06-13 01:54:54,10.7718,55.6667,16.22,14.501,0.464,2.691,2008,6,2008-06-13,165,1.9,55.6625,FALSE,13
2008-06-13 01:55:55,10.7699,55.6611,16.21,14.501,0.468,2.637,2008,6,2008-06-13,165,1.91667,55.6625,FALSE,13
