Time,Lon,Lat,Temp,Sal,Turb,Flu,Year,Month,Day,YDay,Hour,Lat_round,Northbound,MDay
2008-05-30 00:00:17,11.1674,56.1074,13.843,12.768,0.467,2.302,2008,5,2008-05-30,151,0,56.1125,FALSE,30
2008-05-30 00:01:17,11.1628,56.1027,13.509,12.711,0.486,2.419,2008,5,2008-05-30,151,0.0166667,56.1125,FALSE,30
2008-05-30 00:02:18,11.1579,56.098,13.598,12.627,0.488,2.589,2008,5,2008-05-30,151,0.0333333,56.0875,FALSE,30
2008-05-30 00:03:18,11.1528,56.0933,13.712,12.431,0.474,2.526,2008,5,2008-05-30,151,0.05,56.0875,FALSE,30
2008-05-30 00:04:19,11.1476,56.0887,13.644,12.252,0.498,2.506,2008,5,2008-05-30,151,0.0666667,56.0875,FALSE,30
2008-05-30 18:44:29,11.1646,56.0847,14.519,12.158,0.523,1.99,2008,5,2008-05-30,151,18.7333,56.0875,TRUE,30
2008-05-30 18:45:30,11.17,56.089,14.484,12.374,0.547,1.963,2008,5,2008-05-30,151,18.75,56.0875,TRUE,30
2008-05-30 18:46:22,11.1754,56.0932,14.403,12.336,0.529,1.96,2008,5,2008-05-30,151,18.7667,56.0875,TRUE,30
2008-05-30 18:47:22,11.181,56.0974,14.613,12.481,0.525,1.986,2008,5,2008-05-30,151,18.7833,56.0875,TRUE,30
2008-05-30 18:48:23,11.1868,56.1014,14.511,12.658,0.551,2.106,2008,5,2008-05-30,151,18.8,56.1125,TRUE,30
2008-05-30 18:49:23,11.1927,56.1056,14.502,12.75,0.547,2.146,2008,5,2008-05-30,151,18.8167,56.1125,TRUE,30
2008-05-30 18:50:24,11.1985,56.1098,14.477,12.779,0.553,2.219,2008,5,2008-05-30,151,18.8333,56.1125,TRUE,30
2008-06-13 00:16:42,11.1979,56.1343,16.803,13.462,0.464,2.771,2008,6,2008-06-13,165,0.266667,56.1375,FALSE,13
2008-06-13 00:17:42,11.1911,56.1304,16.82,13.478,0.423,2.845,2008,6,2008-06-13,165,0.283333,56.1375,FALSE,13
2008-06-13 00:18:43,11.1843,56.1264,16.83,13.496,0.435,2.793,2008,6,2008-06-13,165,0.3,56.1375,FALSE,13
2008-06-13 00:19:43,11.1773,56.1223,16.812,13.518,0.439,2.851,2008,6,2008-06-13,165,0.316667,56.1125,FALSE,13
2008-06-13 00:20:44,11.1704,56.1183,16.789,13.536,0.431,2.838,2008,6,2008-06-13,165,0.333333,56.1125,FALSE,13
2008-06-13 00:21:44,11.1634,56.1143,16.801,13.543,0.429,2.781,2008,6,2008-06-13,165,0.35,56.1125,FALSE,13
2008-06-13 00:22:45,11.1564,56.1102,16.83,13.551,0.415,2.66,2008,6,2008-06-13,165,0.366667,56.1125,FALSE,13
2008-06-13 00:23:36,11.1494,56.1061,16.826,13.539,0.425,2.561,2008,6,2008-06-13,165,0.383333,56.1125,FALSE,13
2008-06-13 00:24:37,11.1427,56.1019,16.691,13.489,0.435,2.506,2008,6,2008-06-13,165,0.4,56.1125,FALSE,13
2008-06-13 00:25:37,11.1365,56.0974,16.848,13.487,0.423,2.367,2008,6,2008-06-13,165,0.416667,56.0875,FALSE,13
2008-06-13 18:57:10,11.1568,56.083,16.866,13.831,0.578,2.089,2008,6,2008-06-13,165,18.95,56.0875,TRUE,13
2008-06-13 18:58:10,11.1616,56.0881,16.759,13.725,0.578,2.218,2008,6,2008-06-13,165,18.9667,56.0875,TRUE,13
2008-06-13 18:59:11,11.1665,56.0931,16.746,13.689,0.611,2.276,2008,6,2008-06-13,165,18.9833,56.0875,TRUE,13
2008-06-13 19:00:11,11.1717,56.098,16.605,13.696,0.586,2.361,2008,6,2008-06-13,165,19,56.0875,TRUE,13
2008-06-13 19:01:11,11.1776,56.1026,16.62,13.807,0.607,2.364,2008,6,2008-06-13,165,19.0167,56.1125,TRUE,13
2008-06-13 19:02:12,11.1839,56.107,16.697,14.012,0.602,2.741,2008,6,2008-06-13,165,19.0333,56.1125,TRUE,13
2008-06-13 19:03:12,11.1903,56.1114,16.608,14.071,0.629,2.927,2008,6,2008-06-13,165,19.05,56.1125,TRUE,13
2008-06-13 19:04:13,11.1966,56.1159,16.603,14.188,0.635,2.999,2008,6,2008-06-13,165,19.0667,56.1125,TRUE,13
2008-06-13 19:05:13,11.2029,56.1203,16.605,14.194,0.638,3.028,2008,6,2008-06-13,165,19.0833,56.1125,TRUE,13
2008-06-15 00:18:08,11.1976,56.139,16.155,14.53,3.427,2.653,2008,6,2008-06-15,167,0.3,56.1375,FALSE,15
2008-06-15 00:19:09,11.1905,56.1354,16.14,14.557,3.48,2.675,2008,6,2008-06-15,167,0.316667,56.1375,FALSE,15
2008-06-15 00:20:09,11.1832,56.1318,16.097,14.595,3.622,2.717,2008,6,2008-06-15,167,0.333333,56.1375,FALSE,15
2008-06-15 00:21:10,11.1758,56.1282,16.095,14.638,3.49,2.692,2008,6,2008-06-15,167,0.35,56.1375,FALSE,15
2008-06-15 00:22:10,11.1685,56.1245,16.079,14.677,3.255,2.677,2008,6,2008-06-15,167,0.366667,56.1125,FALSE,15
2008-06-15 00:23:11,11.1613,56.1209,16.13,14.698,3.006,2.616,2008,6,2008-06-15,167,0.383333,56.1125,FALSE,15
2008-06-15 00:24:11,11.1542,56.1172,16.166,14.529,2.879,2.645,2008,6,2008-06-15,167,0.4,56.1125,FALSE,15
2008-06-15 00:25:11,11.1475,56.1132,16.13,14.455,2.959,2.32,2008,6,2008-06-15,167,0.416667,56.1125,FALSE,15
